num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,analytical_lift_enabled,failure_pruning_enabled,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,outer_candidates_considered,outer_candidates_pruned,outer_ocp_attempts,uncrossable_failure
4,1,1,1,10000,1,1,1,0,1,277,0,1,0,0,1,1,1.85437e-05,4,0.326541,0.000792545,1.125,5.5622,29.6239,1,5,137.878,81.1545,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,1,0,0,0,1,0,2.52452e+11,4,0.390171,0.000927015,1.451,0,7.99628,1,0,35.5517,1573.18,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,2,0,0,0,1,0,2.52414e+11,4,0.31047,0.000701507,1.195,0,7.69952,1,0,35.5519,1580.58,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,3,0,0,0,1,0,nan,4,0.312921,0.000765653,1.181,0,2.17588,1,0,35.5029,62.6043,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,4,1,0,0,1,1,6.60376e-05,4,0.320373,0.000750875,1.19,6.1265,14.6536,1,2,160.467,86.2121,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,5,0,0,0,1,0,2.5223e+11,4,0.33975,0.000739658,1.355,0,8.91349,1,0,35.5577,1555.88,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,6,1,0,0,1,1,3.28694e-06,4,0.355887,0.00100012,1.326,5.813,8.72904,1,1,137.83,82.1482,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,7,1,0,0,1,1,6.05907e-05,4,0.316126,0.00070629,1.241,5.78514,43.5218,1,7,188.067,88.1698,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,8,0,0,0,1,0,nan,4,0.309442,0.000637894,1.161,0,2.85427,1,0,35.5029,62.602,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,9,1,0,0,1,1,2.56136e-06,4,0.306462,0.000752156,1.162,5.636,8.73059,1,1,137.787,81.9307,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,10,1,0,0,1,1,6.05046e-05,4,0.31562,0.000723803,1.193,5.6275,14.5732,1,2,197.212,89.7807,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,11,0,0,0,1,0,nan,4,0.314807,0.000695158,1.186,0,3.40047,1,0,35.5029,62.603,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,12,0,0,0,1,0,2.52094e+11,4,0.3171,0.000715905,1.143,0,9.04867,1,0,35.5584,1572.97,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,13,0,0,0,1,0,nan,4,0.306904,0.000705841,1.324,0,3.98129,1,0,35.5029,62.6066,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,14,1,0,0,1,1,6.54769e-05,4,0.310302,0.00070747,1.183,5.65925,26.5926,1,4,155.8,88.6715,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,15,0,0,0,1,0,nan,4,0.309731,0.000716351,1.181,0,4.02207,1,0,35.5029,62.6057,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,16,1,0,0,1,1,6.07468e-05,4,0.31894,0.000717209,1.192,5.67175,26.9763,1,4,172.029,89.1254,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,17,1,0,0,1,1,6.04995e-05,4,0.308625,0.000706044,1.177,5.63033,21.2664,1,3,222.778,92.349,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,18,1,0,0,1,1,6.80021e-05,4,0.308755,0.000689515,1.183,5.627,21.3366,1,3,214.729,92.8268,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,19,1,0,0,1,1,2.53581e-06,4,0.313647,0.00074681,1.192,5.689,10.4603,1,1,137.858,82.3921,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,20,1,0,0,1,1,6.84881e-05,4,0.289478,0.000640936,1.186,5.908,69.9511,1,11,239.741,101.514,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,21,1,0,0,1,1,7.74929e-05,4,0.353261,0.000728651,1.394,5.94822,58.9777,1,9,190.624,92.8625,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,22,1,0,0,1,1,6.05642e-05,4,0.341694,0.000739004,1.287,5.852,22.7806,1,3,215.604,90.9103,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,23,1,0,0,1,1,3.12023e-05,4,0.330898,0.000764599,1.296,5.68742,74.4834,1,12,217.385,94.5635,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,24,0,0,0,1,0,2.52392e+11,4,0.334032,0.000724298,1.263,0,12.0392,1,0,35.558,1576.26,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,25,1,0,0,1,1,6.80835e-05,4,0.36393,0.000739956,1.381,6.17771,93.1512,1,14,249.056,102.088,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,26,1,0,0,1,1,2.67005e-06,4,0.310329,0.000693862,1.244,5.667,11.4498,1,1,137.802,81.0838,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,27,1,0,0,1,1,6.28636e-05,4,0.320288,0.000784449,1.2,5.7695,17.4129,1,2,151.87,86.4499,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,28,0,0,0,1,0,nan,4,0.343897,0.000756773,1.519,0,7.34408,1,0,35.5029,62.6021,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,29,0,0,0,1,0,2.52241e+11,4,0.373971,0.000760121,1.296,0,13.0622,1,0,35.5579,1567.55,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,30,1,0,0,1,1,8.08499e-05,4,0.326837,0.00077405,1.351,5.85092,77.0062,1,12,204.946,96.1417,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,31,0,0,0,1,0,nan,4,0.352414,0.00070926,1.168,0,6.53899,1,0,35.5029,62.6038,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,32,1,0,0,1,1,6.24625e-05,4,0.309969,0.000751664,1.227,5.8685,18.6102,1,2,148.026,87.9174,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,33,1,0,0,1,1,4.19512e-05,4,0.359429,0.000725333,1.269,4.743,21.2675,1,3,158.917,86.3995,1,0,1,0
